id,clave,name
__export__.prodserv_10201726,10201726,Rosal vivo lemon dream
__export__.prodserv_10201727,10201727,Rosal vivo magic moka
__export__.prodserv_10201728,10201728,Rosal vivo mamamia
__export__.prodserv_10201729,10201729,Rosal vivo message
__export__.prodserv_10201730,10201730,Rosal vivo muneca o munieca
__export__.prodserv_10201731,10201731,Rosal vivo parfum de rosas
__export__.prodserv_10201732,10201732,Rosal vivo porcelina
__export__.prodserv_10201733,10201733,Rosal vivo privilege
__export__.prodserv_10201734,10201734,Rosal vivo quicksand
__export__.prodserv_10201735,10201735,Rosal vivo rollercoaster
__export__.prodserv_10201736,10201736,Rosal vivo romantic curiosa
__export__.prodserv_10201737,10201737,Rosal vivo safari
__export__.prodserv_10201738,10201738,Rosal vivo sahara
__export__.prodserv_10201739,10201739,Rosal vivo sandy femma
__export__.prodserv_10201740,10201740,Rosal vivo talea
__export__.prodserv_10201741,10201741,Rosal vivo timeless
__export__.prodserv_10201742,10201742,Rosal vivo transition
__export__.prodserv_10201743,10201743,Rosal vivo trump
__export__.prodserv_10201744,10201744,Rosal vivo twin
__export__.prodserv_10201745,10201745,Rosal vivo vendela
__export__.prodserv_10201746,10201746,Rosal vivo virginia
__export__.prodserv_10201800,10201800,Rosales vivos verdes o lima
__export__.prodserv_10201801,10201801,Rosal vivo amandine
__export__.prodserv_10201802,10201802,Rosal vivo caipirinha
__export__.prodserv_10201803,10201803,Rosal vivo green fashion
__export__.prodserv_10201804,10201804,Rosal vivo green tea
__export__.prodserv_10201805,10201805,Rosal vivo jade
__export__.prodserv_10201806,10201806,Rosal vivo limbo
__export__.prodserv_10201807,10201807,Rosal vivo limena o limenia
__export__.prodserv_10201808,10201808,Rosal vivo limona
__export__.prodserv_10201809,10201809,Rosal vivo old dutch
__export__.prodserv_10201810,10201810,Rosal vivo super green
__export__.prodserv_10201811,10201811,Rosal vivo sweet green
__export__.prodserv_10201812,10201812,Rosal vivo viva
__export__.prodserv_10201813,10201813,Rosal vivo zazu
__export__.prodserv_10201900,10201900,Rosales vivos rosado claro
